farm_id,state,crop_type,farm_acres,initial_investment_inr,subsidy_percent,net_investment_inr,spraying_rate_per_acre_inr,monthly_acres_covered,monthly_revenue_inr,monthly_op_cost_inr,payback_period_months,roi_3yr_percent
FARM-201,Haryana,Wheat,260,650000,40,390000,500,355,177500,54200,3.2,1038.2
FARM-202,Punjab,Soybean,287,1000000,80,199999,550,446,245300,80892,1.2,2859.4
FARM-203,Maharashtra,Paddy,22,800000,40,480000,550,190,104500,44248,8.0,351.9
FARM-204,Andhra Pradesh,Paddy,209,650000,50,325000,400,420,168000,56384,2.9,1136.4
FARM-205,Punjab,Paddy,168,450000,50,225000,450,269,121050,41771,2.8,1168.5
FARM-206,Punjab,Cotton,59,450000,80,89999,500,460,230000,74897,0.6,6104.2
FARM-207,Maharashtra,Sugarcane,142,650000,0,650000,500,454,227000,79187,4.4,718.7
FARM-208,Maharashtra,Wheat,298,800000,80,159999,450,241,108450,33745,2.1,1580.9
FARM-209,Karnataka,Paddy,230,800000,40,480000,450,194,87300,28193,8.1,343.3
FARM-210,Punjab,Tea,86,800000,80,159999,400,416,166400,65242,1.6,2176.1
FARM-211,Punjab,Paddy,103,800000,50,400000,450,155,69750,24114,8.8,310.7
FARM-212,Punjab,Chilli,207,800000,50,400000,400,173,69200,23023,8.7,315.6
FARM-213,Punjab,Cotton,90,450000,80,89999,550,428,235400,102592,0.7,5212.4
FARM-214,Maharashtra,Wheat,213,1000000,0,1000000,400,351,140400,51252,11.2,220.9
FARM-215,Karnataka,Soybean,237,450000,50,225000,500,265,132500,50516,2.7,1211.7
FARM-216,Tamil Nadu,Sugarcane,171,650000,80,129999,550,475,261250,98903,0.8,4395.8
FARM-217,Uttar Pradesh,Sugarcane,165,1000000,0,1000000,400,363,145200,58518,11.5,212.1
FARM-218,Maharashtra,Chilli,114,800000,0,800000,500,271,135500,55799,10.0,258.7
FARM-219,Telangana,Chilli,118,450000,40,270000,500,432,216000,74986,1.9,1780.2
FARM-220,Uttar Pradesh,Chilli,45,450000,50,225000,500,471,235500,91867,1.6,2198.1
FARM-221,Maharashtra,Cotton,259,650000,0,650000,550,259,142450,46620,6.8,430.8
FARM-222,Tamil Nadu,Paddy,235,800000,40,480000,550,494,271700,103655,2.9,1160.3
FARM-223,Andhra Pradesh,Tea,24,1000000,50,500000,400,286,114400,43481,7.1,410.6
FARM-224,Andhra Pradesh,Paddy,40,1000000,0,1000000,400,414,165600,63584,9.8,267.3
FARM-225,Haryana,Cotton,172,650000,0,650000,450,436,196200,77047,5.5,559.9
FARM-226,Telangana,Cotton,285,650000,40,390000,400,400,160000,67000,4.2,758.5
FARM-227,Tamil Nadu,Sugarcane,287,450000,0,450000,500,441,220500,90865,3.5,937.1
